G,L2,R2,W3,cg_R1,cg_R2,S11_Linear
140,34,18,9,50,55,0.32661626
140,34,18,19,50,20,0.24670474
140,34,18,19,50,27,0.25325563
140,34,18,19,50,34,0.26555827
140,34,18,19,50,41,0.28474204
140,34,18,19,50,48,0.30976398
140,34,18,19,50,55,0.33768052
140,34,18,14,50,20,0.24635452
140,34,18,14,50,27,0.25611323
140,34,18,14,50,34,0.27088191
140,34,18,14,50,41,0.29025758
140,34,18,14,50,48,0.31174218
140,34,18,14,50,55,0.33351788
140,34,18,9,50,20,0.24540676
140,34,18,9,50,27,0.25588488
140,34,18,9,50,34,0.27025409
140,34,18,9,50,41,0.28717125
140,34,18,9,50,48,0.30406075
140,34,18,9,50,55,0.31944207
140,34,20,19,50,20,0.23698229
140,34,20,19,50,27,0.24033412
140,34,20,19,50,34,0.24925958
140,34,20,19,50,41,0.26514864
140,34,20,19,50,48,0.28864348
140,34,20,19,50,55,0.31740986
140,34,20,14,50,20,0.23552408
140,34,20,14,50,27,0.24272807
140,34,20,14,50,34,0.25510743
140,34,20,14,50,41,0.27339278
140,34,20,14,50,48,0.29571864
140,34,20,14,50,55,0.31938169
140,34,20,9,50,20,0.23563511
140,34,20,9,50,27,0.24431908
140,34,20,9,50,34,0.25748092
140,34,20,9,50,41,0.27425904
140,34,20,9,50,48,0.29210523
140,34,20,9,50,55,0.30974708
145,34,16,19,50,20,0.36428134
145,34,16,19,50,27,0.37580971
145,34,16,19,50,34,0.3922602
145,34,16,19,50,41,0.41192295
145,34,16,19,50,48,0.43299607
145,34,16,19,50,55,0.45164313
145,34,16,14,50,20,0.36643817
145,34,16,14,50,27,0.37855577
145,34,16,14,50,34,0.39391343
145,34,16,14,50,41,0.40966013
145,34,16,14,50,48,0.42351119
145,34,16,14,50,55,0.43325862
145,34,16,9,50,20,0.36176698
145,34,16,9,50,27,0.37247913
145,34,16,9,50,34,0.38442681
145,34,16,9,50,41,0.39468134
145,34,18,9,50,48,0.40228623
145,34,18,9,50,55,0.40587496
145,34,18,19,50,20,0.35326147
145,34,18,19,50,27,0.3628195
145,34,18,19,50,34,0.37758208
145,34,18,19,50,41,0.3971073
145,34,18,19,50,48,0.41985926
145,34,18,19,50,55,0.4418937
145,34,18,14,50,20,0.35601044
145,34,18,14,50,27,0.36767264
145,34,18,14,50,34,0.38289524
145,34,18,14,50,41,0.39986092
145,34,18,14,50,48,0.41601171
145,34,18,14,50,55,0.42872185
145,34,18,9,50,20,0.35345154
145,34,18,9,50,27,0.36418444
145,34,18,9,50,34,0.37678024
145,34,18,9,50,41,0.38876118
145,34,18,9,50,48,0.39788924
145,34,18,9,50,55,0.40350075
145,34,20,19,50,20,0.34080351
145,34,20,19,50,27,0.34748677
145,34,20,19,50,34,0.35938884
145,34,20,19,50,41,0.37714632
145,34,20,19,50,48,0.40024154
145,34,20,19,50,55,0.42549202
145,34,20,14,50,20,0.34349837
145,34,20,14,50,27,0.35337939
145,34,20,14,50,34,0.36798277
145,34,20,14,50,41,0.38560176
145,34,20,14,50,48,0.40436373
145,34,20,14,50,55,0.4206264
145,34,20,9,50,20,0.34244628
145,34,20,9,50,27,0.35309909
145,34,20,9,50,34,0.36611235
145,34,20,9,50,41,0.37966861
145,34,20,9,50,48,0.39144984
145,34,20,9,50,55,0.39898959
150,34,16,19,50,20,0.44467586
150,34,16,19,50,27,0.45685597
150,34,16,19,50,34,0.4726041
150,34,16,19,50,41,0.49068836
150,34,16,19,50,48,0.50934576
150,34,16,19,50,55,0.52462811
150,34,16,14,50,20,0.45303657
150,34,16,14,50,27,0.46537127
150,34,16,14,50,34,0.47868748
150,34,16,14,50,41,0.49120228
150,34,16,14,50,48,0.50149917
150,34,16,14,50,55,0.50726949
150,34,16,9,50,20,0.4520521
150,34,16,9,50,27,0.46165298
150,34,16,9,50,34,0.4707101
150,34,16,9,50,41,0.47749677
150,34,18,9,50,48,0.48131937
150,34,18,9,50,55,0.48203837
150,34,18,19,50,20,0.43325454
150,34,18,19,50,27,0.44200347
150,34,18,19,50,34,0.45771006
150,34,18,19,50,41,0.47594379
150,34,18,19,50,48,0.49718036
150,34,18,19,50,55,0.51546201
150,34,18,14,50,20,0.44255503
150,34,18,14,50,27,0.45363694
150,34,18,14,50,34,0.46869843
150,34,18,14,50,41,0.48337013
150,34,18,14,50,48,0.49629898
150,34,18,14,50,55,0.50420226
150,34,18,9,50,20,0.44389423
150,34,18,9,50,27,0.45331912
150,34,18,9,50,34,0.46469658
150,34,18,9,50,41,0.47344603
150,34,18,9,50,48,0.47937092
150,34,18,9,50,55,0.48044383
150,34,20,19,50,20,0.41806101
150,34,20,19,50,27,0.42460912
150,34,20,19,50,34,0.43601472
150,34,20,19,50,41,0.45328332
150,34,20,19,50,48,0.4755492
150,34,20,19,50,55,0.49889731
150,34,20,14,50,20,0.42772209
150,34,20,14,50,27,0.43832992
150,34,20,14,50,34,0.45245558
150,34,20,14,50,41,0.46867414
150,34,20,14,50,48,0.48501569
150,34,20,14,50,55,0.49787155
150,34,20,9,50,20,0.43185211
150,34,20,9,50,27,0.44236392
150,34,20,9,50,34,0.45402372
150,34,20,9,50,41,0.46487483
150,34,20,9,50,48,0.47349734
150,34,20,9,50,55,0.47775146
155,34,16,19,50,20,0.49527863
155,34,16,19,50,27,0.50767038
155,34,16,19,50,34,0.52368489
155,34,16,19,50,41,0.54136419
155,34,16,19,50,48,0.55882523
155,34,16,19,50,55,0.57215015
155,34,16,14,50,20,0.50936037
155,34,16,14,50,27,0.52136135
155,34,16,14,50,34,0.53434916
155,34,16,14,50,41,0.54583159
155,34,16,14,50,48,0.554174
155,34,16,14,50,55,0.55816383
155,34,16,9,50,20,0.51169544
155,34,16,9,50,27,0.52068659
155,34,16,9,50,34,0.52891626
155,34,16,9,50,41,0.53430215
155,34,18,9,50,48,0.53691894
155,34,18,9,50,55,0.53610695
155,34,18,19,50,20,0.48075321
155,34,18,19,50,27,0.49103744
155,34,18,19,50,34,0.5059152
155,34,18,19,50,41,0.52449757
155,34,18,19,50,48,0.54514183
155,34,18,19,50,55,0.56288164
155,34,18,14,50,20,0.49710141
155,34,18,14,50,27,0.50914057
155,34,18,14,50,34,0.5230727
155,34,18,14,50,41,0.5367027
155,34,18,14,50,48,0.54836424
155,34,18,14,50,55,0.55516562
155,34,18,9,50,20,0.50296383
155,34,18,9,50,27,0.51276862
155,34,18,9,50,34,0.52231207
155,34,18,9,50,41,0.52958199
155,34,18,9,50,48,0.53404998
155,34,18,9,50,55,0.53486745
155,34,20,19,50,20,0.46478927
155,34,20,19,50,27,0.47132661
155,34,20,19,50,34,0.48305775
155,34,20,19,50,41,0.50038256
155,34,20,19,50,48,0.52289054
155,34,20,19,50,55,0.54552878
155,34,20,14,50,20,0.48173854
155,34,20,14,50,27,0.49264293
155,34,20,14,50,34,0.50689856
155,34,20,14,50,41,0.52275144
155,34,20,14,50,48,0.53799005
155,34,20,14,50,55,0.54901113
155,34,20,9,50,20,0.49134316
155,34,20,9,50,27,0.50158301
155,34,20,9,50,34,0.51263923
155,34,20,9,50,41,0.52236428
155,34,20,9,50,48,0.52941854
155,34,20,9,50,55,0.53237033
140,37,16,19,30,20,0.29593061
140,37,16,19,30,27,0.29959758
140,37,16,19,30,34,0.30571198
140,37,16,19,30,41,0.3150025
140,37,16,19,30,48,0.32694585
140,37,16,19,30,55,0.34134842
140,37,16,14,30,20,0.29875263
140,37,16,14,30,27,0.30368279
140,37,16,14,30,34,0.31045914
140,37,16,14,30,41,0.31895831
140,37,16,14,30,48,0.32905799
140,37,16,14,30,55,0.33959214
140,37,16,9,30,20,0.29448054
140,37,16,9,30,27,0.2992763
140,37,16,9,30,34,0.30516369
140,37,16,9,30,41,0.31211599
140,37,18,9,30,48,0.31949026
140,37,18,9,30,55,0.32647606
140,37,18,19,30,20,0.28570581
140,37,18,19,30,27,0.28826676
140,37,18,19,30,34,0.29342694
140,37,18,19,30,41,0.30193096
140,37,18,19,30,48,0.31399888
140,37,18,19,30,55,0.32859785
140,37,18,14,30,20,0.29055267
140,37,18,14,30,27,0.29474845
140,37,18,14,30,34,0.30144767
140,37,18,14,30,41,0.30968694
140,37,18,14,30,48,0.32008681
140,37,18,14,30,55,0.33139542
140,37,18,9,30,20,0.28770096
140,37,18,9,30,27,0.29237606
140,37,18,9,30,34,0.29852215
140,37,18,9,30,41,0.30519242
140,37,18,9,30,48,0.31238528
140,37,18,9,30,55,0.31975001
140,37,20,19,30,20,0.27422764
140,37,20,19,30,27,0.27500165
140,37,20,19,30,34,0.27824655
140,37,20,19,30,41,0.28506705
140,37,20,19,30,48,0.29585361
140,37,20,19,30,55,0.31084066
140,37,20,14,30,20,0.28116263
140,37,20,14,30,27,0.28439088
140,37,20,14,30,34,0.28996551
140,37,20,14,30,41,0.29786589
140,37,20,14,30,48,0.30841342
140,37,20,14,30,55,0.32053293
140,37,20,9,30,20,0.28087939
140,37,20,9,30,27,0.28456749
140,37,20,9,30,34,0.2897531
140,37,20,9,30,41,0.29655175
140,37,20,9,30,48,0.30456389
140,37,20,9,30,55,0.31252017
145,37,16,19,30,20,0.38333242
145,37,16,19,30,27,0.38905454
145,37,16,19,30,34,0.39775561
145,37,16,19,30,41,0.40934156
145,37,16,19,30,48,0.42458245
145,37,16,19,30,55,0.44020042
145,37,16,14,30,20,0.39317731
145,37,16,14,30,27,0.40058375
145,37,16,14,30,34,0.40998954
